,Video Title,Links,Channel Name,Duration,Views,Likes,No. of Comments,Days since Upload
67,Union Budget 2023 | Know what gets cheaper and what becomes costlier,https://www.youtube.com/watch?v=lLYb1t9lmYs,Varun Awasthi,8:16,"47,212",843,24,30
68,"Healthy India - Budget 2023: Health Care Allocation | 19 January, 2023",https://www.youtube.com/watch?v=aH91aV41ewM,India Today,23:49,"5,785",190,5,43
69,Union Budget 2023-24 - Key Highlights (AGRICULTURE),https://www.youtube.com/watch?v=Jsfiqw_f4jU,NTV Telugu,9:20,"23,117",727,16,30
70,Budget 2023 को लेकर सुनिए क्या कहते हैं Experts... | Nirmala Sitharaman Speech,https://www.youtube.com/watch?v=nLghWB0vLns,CNBC-TV18,15:38,"37,741",264,27,30
71,Union Budget 2023-24 Highlights- Daily Current News | Drishti IAS,https://www.youtube.com/watch?v=QNWnAzWG-Fk,Times Of India,37:17,"20,868",1.4K,71,30
72,Winners and losers from Union Budget 2023 | FM Sitaraman | Critical Analysis | UPSC,https://www.youtube.com/watch?v=FzPcr4-f7Mw,BYJU'S IAS,37:05,"19,151",1K,18,23
73,🔴Rajasthan Vidhansabha | Rajasthan Budget Session 2023 | First India Live,https://www.youtube.com/watch?v=ox7qy7ChEGE,OTV,34:34,"28,917",258,3,2
74,"Budget 2023: 2024 आम चुनाव से पहले Income Tax में बड़ी राहत, Infra और नौकरी के क्षेत्र को बढ़ावा",https://www.youtube.com/watch?v=aklQMRP3VLo,Sansad TV,2:35:26,"133,781",875,38,30
75,Modi Govt's Income Tax Bonanza; No tax for income up to ₹7 lakh | Check Revised Rates Here,https://www.youtube.com/watch?v=ie_eaYP86rs,Down To Earth,6:53,"131,661",1.9K,774,30
76,BUDGET 2023 - 24 | LIVE CURRENT AFFAIRS | 01.02.2023 | Download ICON INDIA App,https://www.youtube.com/watch?v=668CPNMbomA,ABP NEWS,0:06,"24,964",1.8K,0,30
77,Union Budget 2023: Capital Outlay Of ₹2.4 Lakh Crore Provided For Indian Railways | CNBC-TV18,https://www.youtube.com/watch?v=_rcfoBwpu_I,Drishti IAS,2:10,"4,238",41,0,30
78,"Union Budget 2023-24: Here’s What Gets Cheaper, Costlier",https://www.youtube.com/watch?v=zHMUfJGTTkI,StudyIQ IAS,1:10,"30,878",159,7,30
79,"So Sorry: ONLY TAX, NO RELAX?।Budget 2023। Modi Government। Nirmala Sitharaman",https://www.youtube.com/watch?v=79UCVQY2_XM,First India News,2:12,"86,524",2.7K,123,31
80,"India Budget 2023 Exclusive: Dr. Shashi Tharoor, Sr Congress Leader & MP of Lok Sabha speaks to WION",https://www.youtube.com/watch?v=pIKGxidJa3g,NDTV India,4:36,"9,320",51,17,30
81,Budget 2023 | क्या हुआ सस्ता और क्या महंगा | Radio City India,https://www.youtube.com/watch?v=X-0Y6wSX5oA,Hindustan Times,1:10,"1,355",25,0,25
82,What the world expects from India's Budget 2023? | Union Budget 2023 | WION News,https://www.youtube.com/watch?v=B88xJBDMBO0,ICON INDIA,22:27,"14,702",112,17,30
83,Budget 2023: What are India's Priorities? | Vantage with Palki Sharma | Budget: What to Expect?,https://www.youtube.com/watch?v=KEbdC-V5aqY,CNBC-TV18,4:43,"42,898",1.2K,64,31
84,Budget 2023 | Personal Income Tax,https://www.youtube.com/watch?v=FRo6nDpGZgQ,The Indian Express,6:00,"21,913",594,24,30
85,DGI-402 I Global GDP forecasts I Indian Budget 2023 I Russia digs in I US to give 2B aid to Ukraine,https://www.youtube.com/watch?v=wQzX_NKfURQ,SoSorry,1:41:04,"8,931",1.1K,24,30
86,Union Budget 2023: World's eyes on India's budget | Latest News | Top News | English News | WION,https://www.youtube.com/watch?v=J5-bpMXS4ys,WION,4:11,"6,171",58,25,30
87,Union Budget 2023-24: Growth First Or Populist Agenda? | Indian Budget 2023 Highlights | News18,https://www.youtube.com/watch?v=yRl7lI5CjiM,Shivam Malik,13:27,422,2,0,30
88,India ने अपने Budget 2023 में Afghanistan के लिए खोला अरबों रुपये की मदद का खजाना | Afghanistan News,https://www.youtube.com/watch?v=EHJepitLamY,Radio City India,1:57,"5,314",98,6,27
89,"India's Defence Budget 2023: 13% more than last year, pensions & salaries almost 50% of funds pie",https://www.youtube.com/watch?v=-aZN8zyKAnE,WION,50:57,"31,024",464,92,30
90,India Budget 2023 live: Budget's impact on people's pocket and nation's positioning | WION Live,https://www.youtube.com/watch?v=yagtUR8J4ew,Firstpost,3:00:22,"55,395",443,8,30
